Nacionalidad;Pais_de_nacimiento;Periodo;Total
Total;Total;2022S1;478990
Total;Total;2021S2;327527
Total;Total;2021S1;201329
Total;Total;2020S2;219889
Total;Total;2020S1;248029
Total;Total;2019S2;400539
Total;Total;2019S1;349941
Total;Total;2018S2;357454
Total;Total;2018S1;286230
Total;Total;2017S2;298062
Total;Total;2017S1;234070
Total;Total;2016S2;227829
Total;Total;2016S1;186918
Total;Total;2015S2;187455
Total;Total;2015S1;154659
Total;Total;2014S2;167180
Total;Total;2014S1;138274
Total;Total;2013S2;152976
Total;Total;2013S1;127796
Total;Total;2012S2;150849
Total;Total;2012S1;153205
Total;Total;2011S2;194527
Total;Total;2011S1;176808
Total;Total;2010S2;186990
Total;Total;2010S1;173714
Total;Total;2009S2;187872
Total;Total;2009S1;205091
Total;Total;2008S2;269302
Total;Total;2008S1;329772
Total;España;2022S1;14650
Total;España;2021S2;18919
Total;España;2021S1;13463
Total;España;2020S2;15883
Total;España;2020S1;10543
Total;España;2019S2;19626
Total;España;2019S1;16601
Total;España;2018S2;19453
Total;España;2018S1;15578
Total;España;2017S2;21748
Total;España;2017S1;16660
Total;España;2016S2;18238
Total;España;2016S1;15582
Total;España;2015S2;16766
Total;España;2015S1;13564
Total;España;2014S2;14106
Total;España;2014S1;11594
Total;España;2013S2;11827
Total;España;2013S1;9768
Total;España;2012S2;11005
Total;España;2012S1;9606
Total;España;2011S2;11832
Total;España;2011S1;9729
Total;España;2010S2;10073
Total;España;2010S1;8801
Total;España;2009S2;10196
Total;España;2009S1;9159
Total;España;2008S2;10344
Total;España;2008S1;10744
Total;Extranjero;2022S1;464340
Total;Extranjero;2021S2;308608
Total;Extranjero;2021S1;187866
Total;Extranjero;2020S2;204006
Total;Extranjero;2020S1;237486
Total;Extranjero;2019S2;380913
Total;Extranjero;2019S1;333340
Total;Extranjero;2018S2;338001
Total;Extranjero;2018S1;270652
Total;Extranjero;2017S2;276314
Total;Extranjero;2017S1;217410
Total;Extranjero;2016S2;209591
Total;Extranjero;2016S1;171335
Total;Extranjero;2015S2;170690
Total;Extranjero;2015S1;141095
Total;Extranjero;2014S2;153074
Total;Extranjero;2014S1;126680
