"Nacionalidad","2021","Latitude","Longitude"
"Algeria",5604,28.0000272,2.9999825
"Argentina",15680,-34.9964963,-64.9672817
"Bangladesh",1144,-0.2864982,36.0514231
"Belgium",4639,50.6402809,4.6667145
"Bolivia",3535,-17.0568696,-64.9912286
"Brazil",7141,-10.3333333,-53.2
"Bulgaria",3090,42.6073975,25.4856617
"Canada",1166,61.0666922,-107.991707
"Chile",4175,-31.7613365,-71.3187697
"China",5794,35.0000663,104.999955
"Colombia",39730,4.5709,-74.2973
"Cuba",9579,23.0131338,-80.8328748
"Denmark",836,55.670249,10.3333283
"Dominican Republic",6347,19.0974031,-70.3028026
"Ecuador",7207,-1.3397668,-79.3666965
"Equatorial Guinea",1041,1.613172,10.5170357
"Finland",852,63.2467777,25.9209164
"France",13111,46.603354,1.8883335
"Gambia",2188,13.470062,-15.4900464
"Germany",12172,51.1638175,10.4478313
"Ghana",1773,8.0300284,-1.0800271
"Guinea",968,10.7226226,-10.7083587
"Honduras",10293,15.2572432,-86.0755145
"India",3371,22.3511148,78.6677428
"Ireland",3165,52.865196,-7.9794599
"Italy",29266,42.6384261,12.674297
"Lithuania",974,55.3500003,23.7499997
"Mali",3873,17.57,-3.9
"Mauritania",1116,20.2540382,-9.2399263
"Mexico",5765,19.4326296,-99.1331785
"Moldova",972,47.2879608,28.5670941
"Morocco",58538,28.3347722,-10.3713379083926
"Netherlands",5734,52.2434979,5.6343227
"Nicaragua",3668,12.6090157,-85.2936911
"Nigeria",1457,9.6000359,7.9999721
"Norway",1439,64.5731537,11.5280364395482
"Pakistan",9737,30.3308401,71.247499
"Paraguay",4367,-23.3165935,-58.1693445
"Peru",16029,-6.8699697,-75.0458515
"Philippines",1997,12.7503486,122.7312101
"Poland",3514,52.215933,19.134422
"Portugal",6727,39.6621648,-8.1353519
"Romania",16429,45.9852129,24.6859225
"Russia",8039,64.6863136,97.7453061
"Senegal",7126,14.4750607,-14.4529612
"Spanish",42761,46.193239,-82.347307
"Sweden",2870,59.6749712,14.5208584
"Switzerland",1687,46.7985624,8.2319736
"Ukraine",5225,49.4871968,31.2718321
"United Kingdom",25046,54.7023545,-3.2765753
"United States of America",8852,39.7837304,-100.445882
"Uruguay",1914,-32.5228,-55.7658
"Venezuela",23727,8.0018709,-66.1109318
